mrun,distancia1,distancia2,distancia3,distancia4,p_prioritario1,p_prioritario2,p_prioritario3,p_prioritario4,simce_lect1,simce_lect2,simce_lect3,simce_lect4,simce_mate1,simce_mate2,simce_mate3,simce_mate4,cod_nivel,prioridad_hermano,es_mujer,prioritario,alto_rendimiento,convenio_pie,municipal,tipo
4478264,3.40659404766205,5.55453136966412,1.490445482554445,6.417402784677328,.030303031,.15178572,0,.15000001,277,286,270,292,309,318,334,337,7,0,1,1,1,0,0,1
4511965,1.801417990474382,7.044107997356775,.7259569135786608,3.462945276968904,0,.15333334,0,0,295,328,275,210,291,374,306,222,7,0,1,0,0,1,0,3
4701447,2.235562301607818,4.611648287323942,2.616622142975678,.4876275602743723,0,.15555556,0,0,256,262,229,213,280,259,240,211,7,0,0,1,1,0,1,2
5007871,.4997654462586,14.52679269169795,1.511411870000303,16.23120574671801,0,0,0,0,262,304,242,265,271,323,243,292,8,0,1,0,1,1,0,3
5215986,3.266320002032972,1.789945505758697,1.664212754154784,1.939730307966856,.15000001,0,0,.15350877,215,287,243,208,213,330,257,198,9,0,1,0,1,1,0,3
5543484,3.884531311048869,2.989811037905853,1.223748862653305,2.831085983245909,.15517241,0,0,.15350877,246,287,227,208,243,330,241,198,9,0,0,1,1,1,0,3
5818582,2.896487832800422,3.750702554771879,1.566088490677198,.7732522451058552,.15555556,.16091955,0,.15789473,244,297,268,236,234,313,294,228,7,0,0,1,0,1,1,4
5834625,1.806070825347508,2.913033733106943,1.1398566281716,5.550522993274605,0,.15185185,.018750001,.15000001,293,304,213,248,327,323,253,261,7,0,1,0,1,0,1,2
5984257,2.083067629085258,2.204298773252249,1.121052029214547,1.779427654949566,0,0,0,0,234,304,238,219,254,323,292,255,10,0,1,0,0,1,0,3
6177181,5.910110161478705,7.60605507850706,15.56922981778943,16.55649661647104,0,0,0,0,214,287,274,306,233,330,305,341,9,0,0,0,1,1,1,4
6406465,.4041245416485361,3.809218203039925,1.553113331575652,.8198330529914348,0,0,0,0,263,287,237,235,272,330,239,209,9,0,0,0,0,0,1,2
6478762,5.143529705305251,2.249940643646659,3.197211492230636,1.216500504314651,.014285714,0,0,0,268,328,271,294,282,374,277,327,9,0,1,0,1,0,0,1
6635327,.8948547286561837,2.651445548977408,1.683676958863885,1.579403564691062,.052631579,.15555556,0,.058333334,250,262,229,550,276,259,271,550,7,0,1,0,1,1,0,3
6963063,5.158834244249789,4.635971481101753,1.901933432957895,9.824763122369172,0,0,0,0,265,297,262,292,304,313,279,337,11,0,0,0,0,0,0,1
7152952,4.960740870891965,5.939296519332935,2.847768881719086,3.756368884806804,0,0,0,0,265,218,257,256,304,208,295,302,11,0,0,0,0,0,0,1
7197036,3.820877279076318,4.357325699627544,4.08486511609401,4.812554842535295,0,.15789473,0,0,273,287,269,550,314,330,285,550,7,1,1,1,0,1,0,3
7257720,.5301600124685371,.6321713809301145,1.697712159113214,2.259603372466253,0,0,0,0,252,550,270,550,298,550,334,550,2,0,0,1,0,0,1,2
7287653,2.766579341694085,2.984226867504175,.5112024175506131,1.990154599628013,.0074074073,0,0,0,227,297,231,236,220,313,219,228,9,0,1,1,0,1,0,3
7567591,15.12667653266077,14.43226607085169,.2645263237607835,.8325841463519366,0,0,0,0,273,287,244,227,314,330,267,214,9,0,1,0,0,1,0,3
7677663,5.001040391715737,.1944575109443103,3.593977660219361,2.144900867785405,.15476191,.15555556,0,.058333334,322,262,242,550,350,259,272,550,7,0,1,1,0,0,1,2
7725962,3.103149477388841,3.3154318127066,.2915851145277703,1.625031537236284,.0074074073,0,0,0,227,297,231,236,220,313,219,228,9,0,0,1,0,1,0,3
7782524,1.752132591423055,7.3047516078246,.9403905560397731,3.204961372913639,0,0,0,0,295,328,275,210,291,374,306,222,9,0,0,0,0,1,0,3
7812928,2.683753047957105,2.872765945142111,1.833077381194493,7.191926189943433,0,0,0,0,261,286,271,265,278,318,296,292,11,0,1,1,0,0,0,1
7908976,1.390168785097931,1.897554186882693,.9258093909021832,5.710908698917529,0,0,0,0,278,286,260,265,299,318,256,292,8,0,1,0,0,0,1,2
8027350,18.46977533191916,2.474728130045541,4.727998197710181,3.256844420209928,0,.15333334,0,0,278,328,294,296,301,374,338,333,7,0,1,0,1,0,1,2
8115611,5.234377797486983,3.313374738759638,3.124215745091751,2.388805761605029,0,0,0,0,257,219,254,292,310,213,302,337,9,0,0,1,0,1,1,4
8154676,.682799348933902,1.931539960203011,2.607971092849031,.4650315115038951,.15151516,.15000001,0,.15000001,227,235,270,218,274,226,334,201,9,0,1,0,0,0,1,2
8211480,1.17436384951802,.3720051938048778,2.876236550426929,4.047755677717729,.15555556,0,0,0,265,297,231,236,304,313,219,228,9,0,1,1,0,0,1,2
8466965,3.171512580224735,1.016733071433933,9.028927179723672,3.651670444223283,.15000001,0,0,.016666668,228,304,285,248,237,323,306,261,9,0,1,1,1,0,1,2
8705919,6.961904053262094,4.855740015168527,5.956744952967132,3.229344017891405,0,.15333334,0,0,245,328,550,288,273,374,550,308,7,0,0,0,1,1,1,4
8765965,3.064688301931946,.4360456494360015,3.273482745343908,1.859970426992749,0,.15555556,0,.058333334,303,262,250,550,320,259,275,550,7,0,1,0,0,0,1,2
8935027,4.324248873596062,4.207093032179463,4.301220418609898,3.594311183931067,0,0,.022222223,0,241,328,226,296,269,374,242,333,9,0,1,1,1,0,1,2
9054179,1.446030180395184,13.35987626880328,2.098604155643546,8.958212831057962,.029411765,0,.15000001,0,212,311,250,306,224,351,258,341,9,0,0,1,1,0,0,1
9217523,2.153402000232749,17.40610162676383,10.61861759448865,12.39301420901376,.011494253,0,0,0,268,328,254,256,320,374,302,302,11,0,0,0,0,0,1,2
9426431,42.87077880350058,41.96706147287382,43.09117036202215,45.99621085149905,.05882353,.15185185,0,0,285,304,243,550,333,323,306,550,7,0,1,1,0,1,0,3
9713492,5.256864023225103,9.016504554900735,.5566763880847606,8.460112944765742,0,0,0,0,257,304,267,219,310,323,294,255,10,0,1,1,0,0,0,1
9738925,1.245045593591975,15.15733589462145,5.008539747143738,8.60022350785143,0,.15333334,0,.15000001,550,328,270,292,550,374,334,337,7,1,0,1,1,1,1,4
10065463,1.399666951362132,5.675390309028679,2.983492598062126,4.631664582726907,0,0,.025,.016666668,241,304,242,248,288,323,287,261,9,0,1,1,1,1,1,4
10102424,.9016076062891104,1.452175186648291,1.046515631430425,28.02035356285041,0,0,0,0,270,228,243,550,293,207,242,550,8,1,0,1,0,0,1,2
10125638,4.787061782345274,18.15353685522864,.8250269547275009,4.207217195290241,.088888891,0,0,0,239,328,264,329,248,374,301,383,9,0,1,1,1,1,1,4
10367913,1.344950045906575,3.797929334183205,1.411907770520141,2.837593593385617,.15555556,0,.068571426,.15000001,222,297,230,218,213,313,193,201,9,0,0,0,1,1,0,3
10393511,2.181106752839157,1.676501381381512,.7529928209219038,.5136717699740198,0,.15555556,0,.058333334,245,262,229,550,234,259,240,550,7,0,0,0,0,0,1,2
10439907,7.416904299233224,16.4140254570836,11.1893375724464,14.31257952354928,.15000001,0,.15000001,0,250,328,231,292,271,374,255,315,9,0,1,1,1,0,0,1
10553515,.7200469935624855,1.13759143152738,1.24806351814446,.9730539214313992,0,0,0,.15350877,273,287,243,208,314,330,257,198,9,0,1,0,0,0,1,2
10570690,.5320431843596565,1.125787905640438,1.281795338072075,5.700849221124925,0,0,0,0,252,219,260,550,298,213,302,550,3,0,1,1,0,0,0,1
10624760,17.42985807619149,17.24272407264827,2.952018699312346,19.14889985280086,0,0,0,0,234,304,241,265,254,323,221,292,10,0,1,1,0,1,1,4
10626733,17.84643174459379,16.89678156240877,18.68831415503552,18.84523877275822,.11428571,0,.022222223,0,229,304,226,265,246,323,242,292,9,0,1,0,0,1,0,3
10674907,14.80205656571589,3.695896381628377,16.39780484143961,.3983447045480034,.044444446,0,.15000001,0,234,287,231,235,254,330,255,209,9,0,1,1,1,0,1,2
10751288,2.47332411598777,1.146554440361753,3.849920608135469,.9784758954772583,.15517241,0,0,.15350877,246,287,220,208,243,330,235,198,9,0,1,1,0,1,0,3
10871941,.9965488618520277,4.030709302302681,5.568720522137374,4.082453276802473,0,0,.022222223,0,550,328,226,294,550,374,242,327,9,0,1,1,1,0,0,1
11239426,5.742404999379596,7.004289537251537,3.147011365147357,5.97737041282852,.05882353,.15185185,0,.15000001,285,304,257,292,333,323,295,337,7,0,1,1,1,1,0,3
11293169,5.63777329843932,5.351283803680678,4.509188549281978,3.67197750041421,.16666667,.15185185,0,.15000001,249,304,242,242,227,323,287,283,7,0,1,0,0,0,1,2
11540297,8.421429534198953,3.081752637307833,7.940511856299344,3.708400389231194,0,.15185185,0,.15111111,550,304,289,265,550,323,307,292,7,0,1,0,0,1,1,4
11775295,.2706373229465972,.5131388896627361,1.164360886497986,.8782569233164153,0,0,0,0,229,228,243,550,231,207,242,550,7,0,0,0,0,0,0,1
11785609,3.421954734250345,14.34990583111792,1.798837753527212,16.1400080160224,0,0,0,0,257,304,289,265,295,323,325,292,8,0,1,0,1,1,1,4
11810294,4.337974299225644,1.439751512985534,4.134721779327038,5.134719872943992,0,0,0,0,279,228,273,201,352,207,297,213,9,0,0,0,0,0,1,2
11815298,6.378484305444581,3.583863693920998,.1039402887190518,1.059405926863795,0,0,0,0,245,297,223,236,235,313,198,228,10,0,1,1,0,1,0,3
11866680,127.1302352962161,131.0645091001631,131.872424061617,133.3752049698668,0,0,0,0,550,304,270,265,550,323,334,292,9,0,1,0,1,0,1,2
12139259,1.070434652101272,5.163501417663842,1.27935076440589,4.925769175321932,0,.15185185,0,.15111111,304,304,257,265,317,323,295,292,7,0,1,0,0,1,1,4
12153018,.4320581276204663,.6704817415810259,.5061984652603965,9.948012738849485,0,0,0,.013888889,233,311,291,203,243,351,362,179,9,1,0,1,1,0,0,1
12253571,3.490472029706229,3.307967741318267,.4382453409098941,.372349987135704,.10091743,.15789473,0,.058333334,276,550,229,550,332,550,240,550,7,0,1,0,0,0,0,1
12420438,.7496401494415791,10.55175456837171,.9172815092325937,11.90967887276451,0,.05952381,0,0,243,231,216,233,265,224,223,217,9,0,1,1,1,0,1,2
12738039,.5334141191824674,2.302653458431438,2.771779422686365,1.715135505011973,0,0,0,0,245,328,253,296,273,374,280,333,9,0,0,0,1,1,1,4
12948289,2.020198867627636,15.54087593025877,1.440373774083249,3.200020048539479,0,0,0,0,275,328,300,329,315,374,335,383,9,0,0,0,0,0,1,2
13284765,1.415896762209083,2.458752471482572,.9377294298083303,17.03128858031014,0,.15000001,0,.022222223,266,311,237,256,251,351,260,302,7,0,0,0,0,0,1,2
13366357,1.558100952670916,1.005021447976342,3.925396979696179,4.947281778936332,0,0,0,0,244,297,231,236,234,313,219,228,9,0,0,0,0,0,0,1
13405003,.7832022644592205,2.005270407401422,1.590513483099736,3.287412525362484,.018750001,0,0,0,250,262,272,232,271,259,287,225,9,0,0,1,1,0,1,2
13417003,.4219024129554168,.7347742005347584,.4729326404888838,.0971702938960391,0,0,0,0,271,287,243,550,297,330,257,550,8,0,1,0,0,0,1,2
13662329,4.185488193268593,1.925346335078459,1.976701894906239,.5229931360725467,0,.15000001,0,0,282,217,275,201,307,211,306,213,9,0,1,1,1,1,0,3
14131381,4.876159666581215,4.547094750346446,4.668038052097204,4.409397520942526,.15000001,0,.15111111,0,230,328,239,294,224,374,235,327,9,0,0,1,0,1,1,4
14302129,15.43900672347779,24.55123672421953,12.66324560358149,.2458536557096165,.11363637,0,0,0,262,303,550,235,299,326,550,220,9,0,0,0,1,0,1,2
14368391,8.638585463257726,4.272026661839267,7.98962115071077,3.219958975025898,.15277778,.15000001,.15111111,0,222,217,239,237,260,211,235,244,9,0,0,1,1,0,0,1
14726287,3.559091983023035,1.938493227182574,1.433374944597366,3.299319265618334,0,.15333334,0,0,253,328,250,294,305,374,270,327,7,0,1,0,0,0,0,1
15120137,9.50182195266872,15.23977259039875,1.954266773725185,2.43235529242981,0,0,0,0,288,287,244,227,342,330,267,214,9,0,1,0,1,0,0,1
15143999,1.535481169871018,.3405462805142439,3.428780627523687,4.265244008185046,.022222223,0,0,0,272,297,223,236,289,313,198,228,9,0,1,0,1,0,1,2
15170896,3.642902272888659,7.796627731624086,2.266845285072092,6.363068949835052,0,0,0,0,248,311,550,224,235,351,550,254,8,0,0,0,0,0,1,2
15332148,1.033849258525277,1.716971217505487,.1104471524859894,2.709411797086582,0,.15294118,0,0,259,285,550,550,245,304,550,550,7,0,1,1,1,1,0,3
15463770,3.289978559139224,7.053293667639022,6.185578185627772,8.254101812622185,0,0,0,0,270,328,257,294,293,374,284,327,11,0,1,0,0,0,1,2
15564615,1.186111579695448,7.957259585365271,1.173319940356823,9.313915392186502,0,0,0,0,269,311,277,292,292,351,331,337,8,0,0,1,1,0,1,2
15872694,1.867127449140917,4.677036488277203,1.229412627022861,.5554392782838337,.16666667,0,.15061729,.039999999,254,262,235,213,250,259,267,211,9,0,0,1,0,1,0,3
15932930,.9991213238478892,4.606313255958505,.9780312016820202,4.969952802470228,0,0,.15555556,.016666668,271,286,215,248,299,318,259,261,9,0,1,0,1,0,1,2
16081292,2.160236631532447,1.739085906970238,2.225587799146619,2.452469462469201,0,.15789473,0,0,241,287,274,550,247,330,284,550,7,0,1,0,0,0,1,2
16131496,2.362687567222954,2.666511316981167,2.498640884521749,1.86864757945504,0,.15000001,0,.15000001,257,217,279,220,295,211,272,236,9,0,1,0,0,0,0,1
16141598,2.376498532878792,.9368976364556106,2.004228247735093,3.835712547210865,0,.16091955,0,0,250,297,268,209,257,313,307,218,7,0,0,0,0,0,1,2
16161434,3.666222807979468,3.966608529617119,5.353310073645699,.3460059466936622,0,0,0,0,236,286,235,217,249,318,229,213,9,0,1,1,1,1,1,4
16204322,3.919087199553245,6.080330056407783,14.68484185391928,4.045070771203616,0,0,.15111111,.075000003,245,313,225,227,234,331,244,236,9,0,1,0,0,1,0,3
16261023,2.181229507813523,2.197096122050144,1.318980153537183,2.91698730090478,0,0,0,0,297,328,218,263,301,374,218,274,9,0,1,1,1,0,1,2
16359583,3.693709590073127,7.883540979393237,17.08258073350181,10.74909776427129,.022222223,0,.15000001,0,272,286,231,265,289,318,229,292,9,0,1,0,1,0,0,1
16571810,1.630937410456774,13.82890577177852,.363029096322354,25.62270712268803,0,.15000001,0,.15000001,550,303,255,224,550,326,287,254,7,0,0,0,0,1,0,3
16680649,2.629796228908802,6.246941549881648,1.833999642108395,3.334587128479104,0,0,.15111111,.0089285718,550,328,225,242,550,374,244,283,9,0,1,1,0,1,0,3
16814109,3.923318210899112,6.031771494739202,.600073300671444,5.4015917366168,0,0,0,0,293,304,294,292,327,323,338,337,8,1,1,0,1,1,1,4
16825861,8.374734997437416,11.92332853507934,2.281335151288586,12.65299417595244,.15319149,.06666667,0,.15238096,237,259,273,219,245,260,297,227,9,0,0,1,0,0,0,1
16982951,2.719624897754248,3.543212489882376,.4160781335911716,1.089052841335324,0,0,0,0,244,297,231,236,234,313,219,228,9,0,1,1,0,1,0,3
17209959,4.088724629499126,3.252997564711258,4.456480331550455,.6729363893207476,0,0,0,.016666668,279,304,310,248,317,323,343,261,9,0,1,0,1,0,1,2
17423654,.4301912023735852,.4944218836589179,1.858140681996129,1.432898316516356,0,0,0,0,258,217,273,237,236,211,297,244,10,0,0,1,0,0,1,2
17475840,3.750995012266692,3.101513175475241,.3907928759486098,21.0693728947519,0,0,0,0,273,287,220,292,314,330,235,337,8,0,1,1,0,0,1,2
17627116,.8387779817163912,.2664066746223712,6.568753804762176,4.279586610556206,0,0,0,0,290,550,250,201,338,550,270,213,6,0,1,1,1,0,0,1
17871374,.6061520907235428,7.222923636249029,1.362552082831575,7.932510670038668,0,0,0,.0062500001,269,311,277,251,292,351,331,271,9,0,0,0,1,0,1,2
17933867,3.891061852086232,1.196942910070676,2.125956627343185,3.902290097041384,0,.15333334,0,.022222223,241,328,268,256,288,374,291,302,7,0,0,0,1,1,1,4
18094323,5.126134714496804,4.414422107536709,1.517839435335939,.2317079876239491,.15555556,0,0,0,265,297,268,236,304,313,294,228,9,0,0,0,0,0,0,1
18377193,2.410835115311307,1.998695263961302,1.656937344104488,4.287662560576426,0,.075000003,0,0,550,550,550,226,550,550,550,222,1,0,1,0,0,1,1,4
18489977,1.500671001243044,4.024050124311237,.9139009557039358,8.17339987001281,0,0,0,0,277,286,274,265,309,318,309,292,9,0,1,0,0,0,1,2
18530138,.7140986732020382,9.467672413173691,4.49176153301722,12.27574048984805,0,.15333334,0,.15000001,550,328,294,248,550,374,338,261,7,0,1,0,0,0,1,2
18762568,.9275150669628842,2.421310920116775,1.977250357914237,11.1392938754087,.15476191,.15116279,.043478262,.15000001,322,313,275,292,350,331,278,337,7,0,1,1,0,1,1,4
18807272,1.86987825209804,1.878555749145025,1.287957656208005,.9237695840606307,0,0,0,.15238096,231,287,226,200,237,330,230,196,9,0,0,0,0,0,1,2
18808444,1.358977657656565,.9532748176552244,.8623839444783207,1.572163647548338,0,.15000001,0,0,282,217,275,223,307,211,306,230,9,0,1,1,1,1,0,3
18990419,1.719884078245101,1.422947578026164,19.75284120084152,19.51894676789331,.0051282053,0,0,0,276,313,267,248,356,331,267,261,12,0,1,1,0,1,0,3
19071822,.8208114384279515,.2782221618243891,.6093248387838971,13.1587579172569,0,0,.035714287,0,253,550,550,550,270,550,550,550,2,0,0,0,0,0,0,1
19083101,5.816741412982923,19.72723030896363,11.08445092102356,15.68387113192114,0,0,0,0,322,328,250,292,350,374,258,337,11,0,0,0,1,0,1,2
19158426,.3464874757532235,1.377543337981341,1.034299217783869,.799670211477479,0,.15789473,0,0,288,287,269,550,308,330,285,550,7,0,1,1,0,0,1,2
19220594,.9481604402258995,1.580302490304642,2.135112597259161,2.505660306822782,0,0,0,0,256,262,250,232,280,259,275,222,9,0,0,0,0,0,1,2
19269330,3.412942506659671,4.252950393583797,1.173334208200933,.4560387091856245,.15555556,.16091955,0,.15789473,244,297,231,236,234,313,219,228,7,0,1,1,1,1,1,4
19271844,1.303385258777795,2.919452736814422,2.90622689195724,4.882241023547175,.055,.06666667,0,.071428575,250,259,281,219,299,260,289,255,9,0,1,1,1,0,0,1
19419954,4.049278396777588,2.775303629600252,2.993517684758202,2.783205910197085,0,0,0,0,253,328,203,296,305,374,221,333,9,0,1,1,1,0,1,2
19687472,.8332495298968782,2.115962539929748,2.129098877567234,.2294025236373993,0,0,0,0,260,287,274,222,262,330,284,224,10,0,0,0,1,0,0,1
19962547,11.11339659231401,12.28792079027903,1.038089936213875,13.66501987945508,0,0,0,0,293,328,550,294,327,374,550,327,9,0,1,1,1,0,1,2
20004416,.400828121737517,2.180457521331651,.7763604094946023,.689101851765564,0,0,0,0,262,550,550,217,319,550,550,207,3,0,1,1,0,1,0,3
20245859,1.520691841603256,2.328995348217926,1.893438601672982,.9425757915196916,.15000001,0,0,.15151516,238,287,274,202,232,330,284,198,9,0,1,1,0,1,1,4
20337952,3.315343714860858,4.157635741849172,1.109322430207005,.4411486327890698,.15555556,.16091955,0,.15789473,244,297,231,236,234,313,219,228,7,0,1,1,0,1,1,4
20532375,1.478369561869201,2.908487953318618,.5489934137190581,3.056607574923944,0,0,0,.15350877,279,287,240,208,300,330,281,198,9,0,1,1,1,1,0,3
20839899,.562076991671594,8.5111135836342,9.448145237369525,9.261168016563614,0,.06666667,0,.15000001,239,259,213,228,243,260,253,215,9,0,1,1,1,0,1,2
21194209,.4458612636972892,1.187253220200167,1.508193026400171,1.298935560713819,.044444446,0,0,.15000001,234,286,238,228,254,318,292,215,9,0,1,0,0,0,0,1
21317392,1.684417396854444,11.57544579730485,18.31965090788689,8.448990637296086,0,0,0,0,277,259,226,224,311,260,228,206,11,0,1,0,1,1,0,3
21443937,12.14882122635003,6.327613054437652,.8755942890875266,6.408189053774038,0,.15000001,0,0,272,303,550,550,282,326,550,550,7,0,0,0,1,0,1,2
21556281,1.208747212135772,4.409765575107607,2.001068388797391,3.816350608578129,0,0,0,0,253,328,203,296,305,374,221,333,9,0,0,1,0,0,1,2
21618389,.5883310636080805,.8808872760233225,1.189426073719947,.6641715205760665,0,.15000001,0,.15000001,244,235,248,218,265,226,245,201,9,0,1,1,0,1,0,3
21628375,7.318470892147614,4.931647386646755,6.405933744319329,12.02284763293353,.15306123,.15000001,.15111111,.071428575,230,217,226,219,208,211,228,255,9,0,1,1,1,0,1,2
21955532,2.024541695192751,1.405347056702232,.0571534591480611,.5733543790792407,0,0,0,0,252,550,270,550,298,550,334,550,4,0,1,0,1,0,0,1
22123321,15.75940921066058,15.07341110888797,15.09984420656188,.8767327540453481,0,0,0,.15238096,273,287,243,225,314,330,257,221,9,0,0,1,0,0,0,1
22809440,9.19464064964634,8.957801414746788,10.6425447184784,13.76869391192353,.04040404,0,0,0,285,286,213,283,333,318,253,294,9,0,1,1,1,0,0,1
22870710,.3799969092374766,1.39953593968172,2.510494650131172,2.128910761008115,.15000001,0,0,0,232,328,279,294,266,374,296,327,9,0,0,0,1,0,0,1
22942472,2.11105544850804,1.283092823643648,2.522599758953185,1.306468570390711,0,0,0,0,266,328,268,296,294,374,291,333,10,0,1,0,1,0,1,2
23178142,.1448491076160338,8.127027949218824,1.091945691840268,1.501538460640607,0,0,0,0,264,328,254,292,240,374,302,337,10,0,0,1,1,0,1,2
23201170,.4181361918478629,1.044936646525126,3.675605163601456,.8858147704177946,.15000001,0,0,.15151516,238,287,220,202,232,330,235,198,9,0,0,1,0,0,0,1
23344747,.7342157006795053,.4320179673198067,.4949643153935653,1.024422899615481,.03125,.15000001,0,.15000001,258,217,275,220,236,211,306,236,9,0,1,0,1,0,0,1
23347845,1.306218122819036,6.623823091569906,2.25292245987363,1.676624021026076,0,0,0,0,309,219,280,256,342,213,334,302,10,0,0,0,1,0,0,1
23415325,6.685600041017312,7.737173411443636,6.755016994458471,6.705309358614678,0,0,0,.15000001,220,303,255,213,228,326,287,203,9,0,1,0,1,0,0,1
23484191,13.95224972846439,1.077832505105279,1.097109551761761,1.416826374947554,0,0,0,0,206,228,550,231,221,207,550,209,10,0,1,1,0,1,0,3
23550593,7.952832744992474,3.631658109490679,6.295823099751747,9.683252562029889,.097777776,0,0,.15000001,252,297,244,221,242,313,295,204,9,0,0,1,1,1,1,4
23659454,3.667627286456538,3.863097129551827,.8307095547385326,.8280481392645194,.0074074073,0,0,0,227,297,268,236,220,313,294,228,9,0,1,1,1,0,1,2
23752855,2.828656529261975,3.634463096334019,.4421536493470177,1.2010026032691,0,0,0,0,244,297,231,236,234,313,219,228,9,0,1,1,1,1,1,4
23919405,3.141204077461759,4.52305919734644,4.890192491353662,.23688283902577,0,.15178572,0,0,236,286,235,217,249,318,229,213,7,0,1,1,1,1,1,4
24110328,5.863371208180764,2.963768974723969,7.189665913699625,2.600810082737797,0,0,0,0,266,328,550,296,294,374,550,333,8,0,1,0,0,0,1,2
